Date,5,3,2,1,예수금,total,위험자산비중
2015-10-30 00:00:00,0.00%,29.97%,19.99%,49.95%,0.08%,100.00%,0.00%
2015-11-30 00:00:00,0.00%,29.98%,19.99%,49.96%,0.07%,100.00%,0.00%
2015-12-30 00:00:00,0.00%,29.97%,19.99%,49.94%,0.10%,100.00%,0.00%
2016-01-29 00:00:00,0.00%,29.99%,19.99%,49.97%,0.06%,100.00%,0.00%
2016-02-29 00:00:00,0.00%,29.98%,20.00%,49.94%,0.08%,100.00%,0.00%
2016-03-31 00:00:00,0.00%,29.97%,19.99%,49.96%,0.07%,100.00%,0.00%
2016-04-29 00:00:00,0.00%,14.98%,14.99%,69.96%,0.07%,100.00%,0.00%
2016-05-31 00:00:00,0.00%,14.99%,14.99%,69.84%,0.18%,100.00%,0.00%
2016-06-30 00:00:00,0.00%,14.99%,14.98%,69.82%,0.21%,100.00%,0.00%
2016-07-29 00:00:00,0.00%,15.00%,14.98%,69.80%,0.22%,100.00%,0.00%
2016-08-31 00:00:00,0.00%,15.00%,14.99%,69.91%,0.10%,100.00%,0.00%
2016-09-30 00:00:00,0.00%,14.99%,14.98%,69.90%,0.14%,100.00%,0.00%
2016-10-31 00:00:00,20.99%,34.95%,13.98%,29.86%,0.22%,100.00%,20.99%
2016-11-30 00:00:00,21.00%,34.98%,13.98%,29.84%,0.20%,100.00%,21.00%
2016-12-29 00:00:00,21.00%,34.98%,13.98%,29.93%,0.12%,100.00%,21.00%
2017-01-31 00:00:00,21.00%,34.96%,13.99%,29.92%,0.13%,100.00%,21.00%
2017-02-28 00:00:00,20.99%,34.99%,13.99%,29.86%,0.16%,100.00%,20.99%
2017-03-31 00:00:00,20.99%,34.97%,14.00%,29.91%,0.14%,100.00%,20.99%
2017-04-28 00:00:00,0.00%,34.97%,13.98%,29.83%,21.22%,100.00%,0.00%
2017-05-31 00:00:00,0.00%,34.97%,13.99%,29.91%,21.14%,100.00%,0.00%
2017-06-30 00:00:00,0.00%,34.96%,13.99%,29.85%,21.20%,100.00%,0.00%
