Date,5,3,2,1,0,total,위험자산비중
2015-10-30 00:00:00,0.00%,29.97%,19.99%,49.95%,0.08%,100.00%,0.00%
2015-11-02 00:00:00,0.00%,29.87%,19.83%,50.22%,0.08%,100.00%,0.00%
2015-11-03 00:00:00,0.00%,29.99%,20.01%,49.93%,0.08%,100.00%,0.00%
2015-11-04 00:00:00,0.00%,30.01%,20.04%,49.87%,0.08%,100.00%,0.00%
2015-11-05 00:00:00,0.00%,30.10%,19.99%,49.83%,0.08%,100.00%,0.00%
2015-11-06 00:00:00,0.00%,30.02%,20.00%,49.91%,0.08%,100.00%,0.00%
2015-11-09 00:00:00,0.00%,30.30%,19.95%,49.67%,0.08%,100.00%,0.00%
2015-11-10 00:00:00,0.00%,30.11%,19.86%,49.95%,0.08%,100.00%,0.00%
2015-11-11 00:00:00,0.00%,29.95%,19.93%,50.03%,0.08%,100.00%,0.00%
2015-11-12 00:00:00,0.00%,30.05%,19.88%,49.99%,0.08%,100.00%,0.00%
2015-11-13 00:00:00,0.00%,29.92%,19.69%,50.31%,0.08%,100.00%,0.00%
2015-11-16 00:00:00,0.00%,29.74%,19.52%,50.66%,0.08%,100.00%,0.00%
2015-11-17 00:00:00,0.00%,29.93%,19.74%,50.25%,0.08%,100.00%,0.00%
2015-11-18 00:00:00,0.00%,29.88%,19.73%,50.31%,0.08%,100.00%,0.00%
2015-11-19 00:00:00,0.00%,30.10%,19.90%,49.93%,0.08%,100.00%,0.00%
2015-11-20 00:00:00,0.00%,30.00%,19.91%,50.01%,0.08%,100.00%,0.00%
2015-11-23 00:00:00,0.00%,30.18%,19.93%,49.81%,0.08%,100.00%,0.00%
2015-11-24 00:00:00,0.00%,30.11%,19.91%,49.90%,0.08%,100.00%,0.00%
2015-11-25 00:00:00,0.00%,29.99%,19.95%,49.98%,0.08%,100.00%,0.00%
2015-11-26 00:00:00,0.00%,30.11%,19.96%,49.86%,0.08%,100.00%,0.00%
2015-11-27 00:00:00,0.00%,30.16%,19.94%,49.82%,0.08%,100.00%,0.00%
2015-11-30 00:00:00,0.00%,29.98%,19.99%,49.96%,0.07%,100.00%,0.00%
2015-12-01 00:00:00,0.00%,30.11%,19.98%,49.83%,0.07%,100.00%,0.00%
2015-12-02 00:00:00,0.00%,30.16%,20.04%,49.72%,0.07%,100.00%,0.00%
2015-12-03 00:00:00,0.00%,30.11%,19.95%,49.87%,0.07%,100.00%,0.00%
