Date,5,3,2,1,0,total,위험자산비중,rebal
2015-10-01,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2015-10-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2015-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2015-12-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2016-01-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2016-02-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2016-03-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2016-04-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2016-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2016-06-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2016-07-29,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2016-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2016-09-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2016-10-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2016-11-30,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2016-12-29,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2017-01-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2017-02-28,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2017-03-31,21.00%,35.00%,14.00%,30.00%,0.00%,100.00%,21.00%,True
2017-04-28,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2017-05-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2017-06-30,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2017-07-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
2017-08-31,0.00%,35.00%,14.00%,30.00%,21.00%,100.00%,0.00%,True
