Date,5,3,2,1,0,total,위험자산비중,rebal
2015-10-01,0.00%,50.00%,50.00%,0.00%,0.00%,100.00%,0.00%,True
2015-10-02,0.00%,50.01%,49.99%,0.00%,0.00%,100.00%,0.00%,False
2015-10-05,0.00%,49.96%,50.04%,0.00%,0.00%,100.00%,0.00%,False
2015-10-06,0.00%,49.81%,50.19%,0.00%,0.00%,100.00%,0.00%,False
2015-10-07,0.00%,49.65%,50.35%,0.00%,0.00%,100.00%,0.00%,False
2015-10-08,0.00%,49.47%,50.53%,0.00%,0.00%,100.00%,0.00%,False
2015-10-12,0.00%,49.13%,50.87%,0.00%,0.00%,100.00%,0.00%,False
2015-10-13,0.00%,49.22%,50.78%,0.00%,0.00%,100.00%,0.00%,False
2015-10-14,0.00%,49.20%,50.80%,0.00%,0.00%,100.00%,0.00%,False
2015-10-15,0.00%,49.06%,50.94%,0.00%,0.00%,100.00%,0.00%,False
2015-10-16,0.00%,48.97%,51.03%,0.00%,0.00%,100.00%,0.00%,False
2015-10-19,0.00%,48.86%,51.14%,0.00%,0.00%,100.00%,0.00%,False
2015-10-20,0.00%,49.09%,50.91%,0.00%,0.00%,100.00%,0.00%,False
2015-10-21,0.00%,49.09%,50.91%,0.00%,0.00%,100.00%,0.00%,False
2015-10-22,0.00%,49.11%,50.89%,0.00%,0.00%,100.00%,0.00%,False
2015-10-23,0.00%,48.99%,51.01%,0.00%,0.00%,100.00%,0.00%,False
2015-10-26,0.00%,49.62%,50.38%,0.00%,0.00%,100.00%,0.00%,False
2015-10-27,0.00%,49.51%,50.49%,0.00%,0.00%,100.00%,0.00%,False
2015-10-28,0.00%,49.62%,50.38%,0.00%,0.00%,100.00%,0.00%,False
2015-10-29,0.00%,49.72%,50.28%,0.00%,0.00%,100.00%,0.00%,False
2015-10-30,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,50.00%,True
2015-11-02,49.98%,50.02%,0.00%,0.00%,0.00%,100.00%,49.98%,False
2015-11-03,49.92%,50.08%,0.00%,0.00%,0.00%,100.00%,49.92%,False
2015-11-04,50.04%,49.96%,0.00%,0.00%,0.00%,100.00%,50.04%,False
2015-11-05,50.46%,49.54%,0.00%,0.00%,0.00%,100.00%,50.46%,False
2015-11-06,50.74%,49.26%,0.00%,0.00%,0.00%,100.00%,50.74%,False
2015-11-09,50.08%,49.92%,0.00%,0.00%,0.00%,100.00%,50.08%,False
2015-11-10,49.81%,50.19%,0.00%,0.00%,0.00%,100.00%,49.81%,False
2015-11-11,50.34%,49.66%,0.00%,0.00%,0.00%,100.00%,50.34%,False
2015-11-12,50.57%,49.43%,0.00%,0.00%,0.00%,100.00%,50.57%,False
2015-11-13,50.86%,49.14%,0.00%,0.00%,0.00%,100.00%,50.86%,False
2015-11-16,50.81%,49.19%,0.00%,0.00%,0.00%,100.00%,50.81%,False
2015-11-17,51.03%,48.97%,0.00%,0.00%,0.00%,100.00%,51.03%,False
2015-11-18,51.22%,48.78%,0.00%,0.00%,0.00%,100.00%,51.22%,False
2015-11-19,51.16%,48.84%,0.00%,0.00%,0.00%,100.00%,51.16%,False
2015-11-20,51.27%,48.73%,0.00%,0.00%,0.00%,100.00%,51.27%,False
2015-11-23,51.14%,48.86%,0.00%,0.00%,0.00%,100.00%,51.14%,False
2015-11-24,51.07%,48.93%,0.00%,0.00%,0.00%,100.00%,51.07%,False
2015-11-25,51.08%,48.92%,0.00%,0.00%,0.00%,100.00%,51.08%,False
2015-11-26,51.03%,48.97%,0.00%,0.00%,0.00%,100.00%,51.03%,False
2015-11-27,50.96%,49.04%,0.00%,0.00%,0.00%,100.00%,50.96%,False
2015-11-30,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,50.00%,True
2015-12-01,49.82%,50.18%,0.00%,0.00%,0.00%,100.00%,49.82%,False
2015-12-02,49.94%,50.06%,0.00%,0.00%,0.00%,100.00%,49.94%,False
2015-12-03,50.29%,49.71%,0.00%,0.00%,0.00%,100.00%,50.29%,False
