Date,069500.KS mkt val,114260.KS mkt val,133690.KS mkt val,143850.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,cash_rem,port_val
2015-10-01,14.00%,10.00%,21.00%,14.00%,10.00%,10.00%,0.00%,21.00%,100.00%
2015-10-02,13.95%,10.02%,20.96%,13.97%,10.03%,10.03%,0.00%,21.05%,100.00%
2015-10-05,13.89%,9.99%,21.11%,14.10%,9.98%,9.98%,0.00%,20.96%,100.00%
2015-10-06,13.98%,9.95%,21.12%,14.19%,9.95%,9.94%,0.00%,20.88%,100.00%
2015-10-07,14.16%,9.92%,21.03%,14.22%,9.92%,9.92%,0.00%,20.83%,100.00%
2015-10-08,14.26%,9.92%,20.89%,14.23%,9.93%,9.93%,0.00%,20.84%,100.00%
2015-10-12,14.29%,9.88%,20.88%,14.41%,9.89%,9.89%,0.00%,20.76%,100.00%
2015-10-13,14.25%,9.87%,20.94%,14.40%,9.89%,9.89%,0.00%,20.75%,100.00%
2015-10-14,14.25%,9.90%,20.84%,14.34%,9.92%,9.92%,0.00%,20.82%,100.00%
2015-10-15,14.40%,9.90%,20.72%,14.34%,9.91%,9.91%,0.00%,20.81%,100.00%
2015-10-16,14.33%,9.88%,20.82%,14.46%,9.88%,9.89%,0.00%,20.75%,100.00%
2015-10-19,14.35%,9.89%,20.73%,14.47%,9.90%,9.90%,0.00%,20.77%,100.00%
2015-10-20,14.34%,9.86%,20.91%,14.45%,9.87%,9.87%,0.00%,20.71%,100.00%
2015-10-21,14.37%,9.83%,20.94%,14.48%,9.85%,9.85%,0.00%,20.67%,100.00%
2015-10-22,14.34%,9.86%,20.87%,14.42%,9.88%,9.88%,0.00%,20.74%,100.00%
2015-10-23,14.35%,9.79%,21.04%,14.60%,9.81%,9.81%,0.00%,20.59%,100.00%
2015-10-26,14.30%,9.74%,21.45%,14.52%,9.76%,9.76%,0.00%,20.47%,100.00%
2015-10-27,14.31%,9.76%,21.38%,14.53%,9.77%,9.77%,0.00%,20.49%,100.00%
2015-10-28,14.26%,9.73%,21.51%,14.56%,9.74%,9.74%,0.00%,20.44%,100.00%
2015-10-29,14.19%,9.71%,21.68%,14.61%,9.72%,9.72%,0.00%,20.38%,100.00%
2015-10-30,14.00%,10.00%,21.00%,14.00%,10.00%,10.00%,21.00%,0.00%,100.00%
2015-11-02,14.04%,10.05%,20.86%,13.88%,10.06%,10.06%,21.05%,0.00%,100.00%
2015-11-03,14.08%,9.98%,20.92%,13.99%,9.99%,9.99%,21.05%,0.00%,100.00%
2015-11-04,14.05%,9.96%,20.94%,14.01%,9.97%,9.97%,21.11%,0.00%,100.00%
2015-11-05,13.97%,9.91%,20.99%,13.92%,9.93%,9.93%,21.35%,0.00%,100.00%
2015-11-06,13.89%,9.91%,20.93%,13.92%,9.94%,9.94%,21.46%,0.00%,100.00%
2015-11-09,13.87%,9.91%,21.44%,13.97%,9.96%,9.96%,20.88%,0.00%,100.00%
2015-11-10,13.82%,10.03%,21.45%,13.98%,10.07%,10.07%,20.58%,0.00%,100.00%
2015-11-11,13.77%,10.00%,21.21%,13.98%,10.05%,10.05%,20.94%,0.00%,100.00%
2015-11-12,13.75%,9.97%,21.24%,13.91%,10.02%,10.02%,21.10%,0.00%,100.00%
2015-11-13,13.65%,10.03%,21.19%,13.78%,10.08%,10.08%,21.19%,0.00%,100.00%
2015-11-16,13.62%,10.13%,21.10%,13.70%,10.18%,10.18%,21.10%,0.00%,100.00%
2015-11-17,13.58%,10.03%,21.24%,13.81%,10.06%,10.06%,21.23%,0.00%,100.00%
2015-11-18,13.55%,10.03%,21.18%,13.79%,10.06%,10.06%,21.33%,0.00%,100.00%
2015-11-19,13.60%,9.93%,21.30%,13.87%,9.97%,9.97%,21.36%,0.00%,100.00%
2015-11-20,13.62%,9.93%,21.15%,13.87%,9.97%,9.97%,21.49%,0.00%,100.00%
2015-11-23,13.65%,9.89%,21.30%,13.87%,9.93%,9.93%,21.43%,0.00%,100.00%
2015-11-24,13.73%,9.90%,21.15%,13.85%,9.94%,9.94%,21.49%,0.00%,100.00%
2015-11-25,13.74%,9.92%,21.02%,13.88%,9.96%,9.96%,21.52%,0.00%,100.00%
2015-11-26,13.83%,9.87%,21.00%,13.85%,9.91%,9.91%,21.62%,0.00%,100.00%
2015-11-27,13.81%,9.87%,21.10%,13.86%,9.91%,9.92%,21.53%,0.00%,100.00%
2015-11-30,14.00%,10.00%,21.00%,14.00%,10.00%,10.00%,21.00%,0.00%,100.00%
2015-12-01,14.14%,9.96%,20.98%,13.97%,9.95%,9.95%,21.05%,0.00%,100.00%
2015-12-02,14.03%,9.94%,21.13%,14.02%,9.94%,9.94%,21.00%,0.00%,100.00%
2015-12-03,13.92%,9.96%,21.13%,13.94%,9.96%,9.96%,21.13%,0.00%,100.00%
2015-12-04,13.92%,10.06%,20.83%,13.90%,10.07%,10.06%,21.15%,0.00%,100.00%
2015-12-07,13.80%,10.00%,21.34%,14.03%,10.01%,10.01%,20.82%,0.00%,100.00%
2015-12-08,13.81%,10.07%,21.48%,14.00%,10.07%,10.07%,20.50%,0.00%,100.00%
2015-12-09,13.81%,10.07%,21.67%,13.96%,10.07%,10.07%,20.37%,0.00%,100.00%
2015-12-10,13.96%,10.13%,21.51%,13.93%,10.12%,10.12%,20.24%,0.00%,100.00%
2015-12-11,13.98%,10.11%,21.61%,14.01%,10.15%,10.15%,19.98%,0.00%,100.00%
2015-12-14,14.06%,10.26%,21.56%,13.98%,10.30%,10.30%,19.54%,0.00%,100.00%
2015-12-15,14.02%,10.21%,21.52%,13.90%,10.25%,10.25%,19.85%,0.00%,100.00%
2015-12-16,14.20%,10.13%,21.41%,14.00%,10.19%,10.18%,19.89%,0.00%,100.00%
2015-12-17,14.09%,10.07%,21.54%,14.03%,10.12%,10.12%,20.03%,0.00%,100.00%
2015-12-18,14.07%,10.09%,21.31%,13.80%,10.12%,10.12%,20.48%,0.00%,100.00%
2015-12-21,14.19%,10.15%,21.07%,13.74%,10.17%,10.16%,20.53%,0.00%,100.00%
2015-12-22,14.21%,10.14%,21.11%,13.84%,10.16%,10.16%,20.38%,0.00%,100.00%
2015-12-23,14.33%,10.13%,21.15%,13.88%,10.15%,10.15%,20.21%,0.00%,100.00%
2015-12-24,14.26%,10.14%,21.27%,14.02%,10.16%,10.16%,19.99%,0.00%,100.00%
