Date,KODEX 200 mkt val,KODEX 국고채3년 mkt val,TIGER 미국나스닥100 mkt val,TIGER 미국S&P500선물(H) mkt val,KODEX 단기채권 mkt val,TIGER 단기통안채 mkt val,KODEX 코스닥150 mkt val,cash_rem,total
2015-10-30 0:00,9.98%,16.64%,19.99%,19.99%,16.66%,16.65%,0.00%,0.08%,100.00%
2015-11-02 0:00,10.01%,16.73%,19.86%,19.83%,16.75%,16.75%,0.00%,0.08%,100.00%
2015-11-03 0:00,10.05%,16.62%,19.94%,20.01%,16.66%,16.65%,0.00%,0.08%,100.00%
2015-11-04 0:00,10.03%,16.60%,19.97%,20.04%,16.64%,16.63%,0.00%,0.08%,100.00%
2015-11-05 0:00,10.03%,16.58%,20.09%,19.99%,16.63%,16.62%,0.00%,0.08%,100.00%
2015-11-06 0:00,9.96%,16.60%,20.05%,20.00%,16.66%,16.65%,0.00%,0.08%,100.00%
2015-11-09 0:00,9.89%,16.49%,20.41%,19.95%,16.59%,16.59%,0.00%,0.08%,100.00%
2015-11-10 0:00,9.80%,16.59%,20.31%,19.86%,16.68%,16.68%,0.00%,0.08%,100.00%
2015-11-11 0:00,9.80%,16.61%,20.15%,19.93%,16.71%,16.71%,0.00%,0.08%,100.00%
2015-11-12 0:00,9.81%,16.60%,20.24%,19.88%,16.70%,16.70%,0.00%,0.08%,100.00%
2015-11-13 0:00,9.73%,16.70%,20.18%,19.69%,16.80%,16.80%,0.00%,0.08%,100.00%
2015-11-16 0:00,9.69%,16.83%,20.05%,19.52%,16.92%,16.92%,0.00%,0.08%,100.00%
2015-11-17 0:00,9.69%,16.70%,20.24%,19.74%,16.77%,16.77%,0.00%,0.08%,100.00%
2015-11-18 0:00,9.67%,16.72%,20.20%,19.73%,16.80%,16.79%,0.00%,0.08%,100.00%
2015-11-19 0:00,9.73%,16.59%,20.36%,19.90%,16.67%,16.67%,0.00%,0.08%,100.00%
2015-11-20 0:00,9.76%,16.62%,20.24%,19.91%,16.70%,16.69%,0.00%,0.08%,100.00%
2015-11-23 0:00,9.79%,16.55%,20.40%,19.93%,16.63%,16.63%,0.00%,0.08%,100.00%
2015-11-24 0:00,9.85%,16.58%,20.26%,19.91%,16.66%,16.66%,0.00%,0.08%,100.00%
2015-11-25 0:00,9.85%,16.61%,20.13%,19.95%,16.69%,16.68%,0.00%,0.08%,100.00%
2015-11-26 0:00,9.95%,16.56%,20.16%,19.96%,16.65%,16.65%,0.00%,0.08%,100.00%
2015-11-27 0:00,9.92%,16.55%,20.24%,19.94%,16.64%,16.64%,0.00%,0.08%,100.00%
2015-11-30 0:00,9.99%,16.64%,19.99%,19.99%,16.66%,16.66%,0.00%,0.07%,100.00%
2015-12-01 0:00,10.11%,16.60%,20.01%,19.98%,16.61%,16.62%,0.00%,0.07%,100.00%
2015-12-02 0:00,10.02%,16.56%,20.14%,20.04%,16.58%,16.58%,0.00%,0.07%,100.00%
2015-12-03 0:00,9.96%,16.61%,20.16%,19.95%,16.63%,16.63%,0.00%,0.07%,100.00%
2015-12-04 0:00,9.94%,16.74%,19.84%,19.85%,16.78%,16.78%,0.00%,0.07%,100.00%
2015-12-07 0:00,9.82%,16.60%,20.26%,19.98%,16.64%,16.64%,0.00%,0.07%,100.00%
2015-12-08 0:00,9.79%,16.64%,20.31%,19.86%,16.66%,16.66%,0.00%,0.07%,100.00%
