Date,114260.KS mkt val,153130.KS mkt val,157450.KS mkt val,229200.KS mkt val,278530.KS mkt val,379800.KS mkt val,379810.KS mkt val,cash_rem,port_val
2021-04-09,23.33%,23.33%,23.33%,18.00%,12.00%,0.00%,0.00%,0.00%,100.00%
2021-04-12,23.31%,23.29%,23.29%,18.12%,11.98%,0.00%,0.00%,0.00%,100.00%
2021-04-13,23.22%,23.19%,23.19%,18.37%,12.04%,0.00%,0.00%,0.00%,100.00%
2021-04-14,23.20%,23.15%,23.15%,18.37%,12.12%,0.00%,0.00%,0.00%,100.00%
2021-04-15,23.18%,23.16%,23.16%,18.35%,12.15%,0.00%,0.00%,0.00%,100.00%
2021-04-16,23.15%,23.13%,23.13%,18.48%,12.12%,0.00%,0.00%,0.00%,100.00%
2021-04-19,23.12%,23.08%,23.08%,18.63%,12.09%,0.00%,0.00%,0.00%,100.00%
2021-04-20,23.11%,23.09%,23.09%,18.57%,12.14%,0.00%,0.00%,0.00%,100.00%
2021-04-21,23.22%,23.19%,23.19%,18.40%,12.00%,0.00%,0.00%,0.00%,100.00%
2021-04-22,23.21%,23.17%,23.17%,18.43%,12.01%,0.00%,0.00%,0.00%,100.00%
2021-04-23,23.21%,23.17%,23.17%,18.43%,12.02%,0.00%,0.00%,0.00%,100.00%
2021-04-26,23.17%,23.15%,23.15%,18.45%,12.09%,0.00%,0.00%,0.00%,100.00%
2021-04-27,23.23%,23.20%,23.20%,18.23%,12.15%,0.00%,0.00%,0.00%,100.00%
2021-04-28,23.38%,23.36%,23.36%,17.80%,12.11%,0.00%,0.00%,0.00%,100.00%
2021-04-29,23.49%,23.46%,23.47%,17.48%,12.10%,0.00%,0.00%,0.00%,100.00%
2021-04-30,23.33%,23.33%,23.33%,0.00%,0.00%,15.00%,15.00%,0.00%,100.00%
2021-05-03,23.28%,23.28%,23.28%,0.00%,0.00%,15.08%,15.08%,0.00%,100.00%
2021-05-04,23.31%,23.33%,23.32%,0.00%,0.00%,15.07%,14.96%,0.00%,100.00%
2021-05-06,23.38%,23.37%,23.37%,0.00%,0.00%,15.10%,14.78%,0.00%,100.00%
2021-05-07,23.34%,23.34%,23.34%,0.00%,0.00%,15.16%,14.82%,0.00%,100.00%
2021-05-10,23.34%,23.34%,23.34%,0.00%,0.00%,15.18%,14.81%,0.00%,100.00%
2021-05-11,23.48%,23.47%,23.47%,0.00%,0.00%,15.10%,14.48%,0.00%,100.00%
2021-05-12,23.47%,23.46%,23.46%,0.00%,0.00%,15.04%,14.57%,0.00%,100.00%
2021-05-13,23.56%,23.55%,23.55%,0.00%,0.00%,14.92%,14.43%,0.00%,100.00%
