Date,5,3,2,1,0,total,위험자산비중,rebal
2021-04-09,0.00%,0.00%,60.00%,40.00%,0.00%,100.00%,0.00%,True
2021-04-12,0.00%,0.00%,60.20%,39.80%,0.00%,100.00%,0.00%,False
2021-04-13,0.00%,0.00%,60.42%,39.58%,0.00%,100.00%,0.00%,False
2021-04-14,0.00%,0.00%,60.25%,39.75%,0.00%,100.00%,0.00%,False
2021-04-15,0.00%,0.00%,60.17%,39.83%,0.00%,100.00%,0.00%,False
2021-04-16,0.00%,0.00%,60.40%,39.60%,0.00%,100.00%,0.00%,False
2021-04-19,0.00%,0.00%,60.64%,39.36%,0.00%,100.00%,0.00%,False
2021-04-20,0.00%,0.00%,60.46%,39.54%,0.00%,100.00%,0.00%,False
2021-04-21,0.00%,0.00%,60.52%,39.48%,0.00%,100.00%,0.00%,False
2021-04-22,0.00%,0.00%,60.53%,39.47%,0.00%,100.00%,0.00%,False
2021-04-23,0.00%,0.00%,60.53%,39.47%,0.00%,100.00%,0.00%,False
2021-04-26,0.00%,0.00%,60.40%,39.60%,0.00%,100.00%,0.00%,False
2021-04-27,0.00%,0.00%,60.00%,40.00%,0.00%,100.00%,0.00%,False
2021-04-28,0.00%,0.00%,59.52%,40.48%,0.00%,100.00%,0.00%,False
2021-04-29,0.00%,0.00%,59.10%,40.90%,0.00%,100.00%,0.00%,False
2021-04-30,50.00%,0.00%,0.00%,50.00%,0.00%,100.00%,50.00%,True
2021-05-03,49.99%,0.00%,0.00%,50.01%,0.00%,100.00%,49.99%,False
2021-05-04,49.82%,0.00%,0.00%,50.18%,0.00%,100.00%,49.82%,False
2021-05-06,49.46%,0.00%,0.00%,50.54%,0.00%,100.00%,49.46%,False
2021-05-07,49.45%,0.00%,0.00%,50.55%,0.00%,100.00%,49.45%,False
2021-05-10,49.39%,0.00%,0.00%,50.61%,0.00%,100.00%,49.39%,False
2021-05-11,48.96%,0.00%,0.00%,51.04%,0.00%,100.00%,48.96%,False
2021-05-12,49.20%,0.00%,0.00%,50.80%,0.00%,100.00%,49.20%,False
2021-05-13,49.16%,0.00%,0.00%,50.84%,0.00%,100.00%,49.16%,False
